Name,Times accessed,Date accessed,Date modified,Date created,URL
23_Ellipse & Hyperbola_2_230330_172240.pdf,20,06-03-2024 19.08,30-03-2023 17.35,30-03-2023 17.35,F:\Rushil\ADVANCE ASHRAM\23_Ellipse & Hyperbola_2_230330_172240.pdf
23_WAVES_2_230330_172305.pdf,66,06-03-2024 19.08,30-03-2023 17.35,30-03-2023 17.35,F:\Rushil\ADVANCE ASHRAM\23_WAVES_2_230330_172305.pdf
24_Kinematicspmd_230330_172447.pdf,79,06-03-2024 19.08,30-03-2023 17.39,30-03-2023 17.39,F:\Rushil\ADVANCE ASHRAM\24_Kinematicspmd_230330_172447.pdf
24_s-block + Hydrogen and it's compounds_230330_172328.pdf,87,06-03-2024 19.08,30-03-2023 17.35,30-03-2023 17.35,F:\Rushil\ADVANCE ASHRAM\24_s-block + Hydrogen and it's compounds_230330_172328.pdf
25_Law of Motion_ Fricton_Circular_230330_172427.pdf,56,06-03-2024 19.08,30-03-2023 17.39,30-03-2023 17.39,F:\Rushil\ADVANCE ASHRAM\25_Law of Motion_ Fricton_Circular_230330_172427.pdf
25_Thermodynamics_230330_172457.pdf,54,06-03-2024 19.08,30-03-2023 17.40,30-03-2023 17.40,F:\Rushil\ADVANCE ASHRAM\25_Thermodynamics_230330_172457.pdf
26_Thermochemistry_230330_172437.pdf,99,06-03-2024 19.08,30-03-2023 17.39,30-03-2023 17.39,F:\Rushil\ADVANCE ASHRAM\26_Thermochemistry_230330_172437.pdf
2_Electrostatics_Sheet_2.pdf,62,06-03-2024 19.08,11-02-2023 17.01,11-02-2023 17.01,F:\Rushil\ADVANCE ASHRAM\2_Electrostatics_Sheet_2.pdf
2_FUNCTION & ITF_1_230213_180338.pdf,64,06-03-2024 19.08,13-02-2023 23.26,13-02-2023 23.26,F:\Rushil\ADVANCE ASHRAM\2_FUNCTION & ITF_1_230213_180338.pdf
2_Liquid_Solution.pdf,61,06-03-2024 19.08,11-02-2023 17.01,11-02-2023 17.01,F:\Rushil\ADVANCE ASHRAM\2_Liquid_Solution.pdf
3_Capacitance_230213_180414.pdf,49,06-03-2024 19.08,13-02-2023 23.26,13-02-2023 23.26,F:\Rushil\ADVANCE ASHRAM\3_Capacitance_230213_180414.pdf
3_FUNCTION & ITF_2_230213_180322.pdf,73,06-03-2024 19.08,13-02-2023 23.26,13-02-2023 23.26,F:\Rushil\ADVANCE ASHRAM\3_FUNCTION & ITF_2_230213_180322.pdf
3_Halogen Derivative_230213_180401.pdf,42,06-03-2024 19.08,13-02-2023 23.26,13-02-2023 23.26,F:\Rushil\ADVANCE ASHRAM\3_Halogen Derivative_230213_180401.pdf
3_Matrix__Determinants.pdf,62,06-03-2024 19.08,11-02-2023 17.01,11-02-2023 17.01,F:\Rushil\ADVANCE ASHRAM\3_Matrix__Determinants.pdf
3_Solid_State.pdf,12,06-03-2024 19.08,11-02-2023 17.01,11-02-2023 17.01,F:\Rushil\ADVANCE ASHRAM\3_Solid_State.pdf
4_Aromatic Compound_230213_180350.pdf,29,06-03-2024 19.08,13-02-2023 23.26,13-02-2023 23.26,F:\Rushil\ADVANCE ASHRAM\4_Aromatic Compound_230213_180350.pdf
4_Current Electricity_1_230216_122614.pdf,26,06-03-2024 19.09,16-02-2023 21.28,16-02-2023 21.28,F:\Rushil\ADVANCE ASHRAM\4_Current Electricity_1_230216_122614.pdf
4_LCD & MOD_1_230216_122514.pdf,17,06-03-2024 19.09,16-02-2023 23.22,16-02-2023 23.22,F:\Rushil\ADVANCE ASHRAM\4_LCD & MOD_1_230216_122514.pdf
5_Current Electricity_2_230216_122555.pdf,38,06-03-2024 19.09,16-02-2023 21.30,16-02-2023 21.30,F:\Rushil\ADVANCE ASHRAM\5_Current Electricity_2_230216_122555.pdf
5_Electrochemistry_230216_122540.pdf,83,06-03-2024 19.09,16-02-2023 21.30,16-02-2023 21.30,F:\Rushil\ADVANCE ASHRAM\5_Electrochemistry_230216_122540.pdf
5_LCD & MOD_2_230216_122501.pdf,93,06-03-2024 19.09,16-02-2023 23.22,16-02-2023 23.22,F:\Rushil\ADVANCE ASHRAM\5_LCD & MOD_2_230216_122501.pdf
6_AOD_1_230218_111458.pdf,12,06-03-2024 19.09,18-02-2023 12.26,18-02-2023 12.26,F:\Rushil\ADVANCE ASHRAM\6_AOD_1_230218_111458.pdf
6_CHEMICAL KINETICS_230216_122527.pdf,41,06-03-2024 19.09,16-02-2023 21.30,16-02-2023 21.30,F:\Rushil\ADVANCE ASHRAM\6_CHEMICAL KINETICS_230216_122527.pdf
6_Magnetism_230218_111337.pdf,29,06-03-2024 19.09,18-02-2023 12.27,18-02-2023 12.27,F:\Rushil\ADVANCE ASHRAM\6_Magnetism_230218_111337.pdf
7_AOD_2_230218_111448.pdf,58,06-03-2024 19.09,18-02-2023 12.26,18-02-2023 12.26,F:\Rushil\ADVANCE ASHRAM\7_AOD_2_230218_111448.pdf
7_Carboxylic acid & Amines_230218_111350.pdf,19,06-03-2024 19.09,18-02-2023 12.27,18-02-2023 12.27,F:\Rushil\ADVANCE ASHRAM\7_Carboxylic acid & Amines_230218_111350.pdf
7_EMI & AC_1_230219_193709.pdf,91,06-03-2024 19.09,19-02-2023 21.14,19-02-2023 21.14,F:\Rushil\ADVANCE ASHRAM\7_EMI & AC_1_230219_193709.pdf
8_Alcohol & Carbonyl compound_230218_111402.pdf,33,06-03-2024 19.09,18-02-2023 12.27,18-02-2023 12.27,F:\Rushil\ADVANCE ASHRAM\8_Alcohol & Carbonyl compound_230218_111402.pdf
8_EMI & AC_2_230219_193700.pdf,45,06-03-2024 19.09,19-02-2023 21.13,19-02-2023 21.13,F:\Rushil\ADVANCE ASHRAM\8_EMI & AC_2_230219_193700.pdf
8_Integration_1_230219_193649.pdf,60,06-03-2024 19.09,19-02-2023 21.13,19-02-2023 21.13,F:\Rushil\ADVANCE ASHRAM\8_Integration_1_230219_193649.pdf
9_Integration_2_230219_193637.pdf,92,06-03-2024 19.09,19-02-2023 21.13,19-02-2023 21.13,F:\Rushil\ADVANCE ASHRAM\9_Integration_2_230219_193637.pdf
9_Modern Physics_1_230223_212545.pdf,20,06-03-2024 19.09,24-02-2023 21.44,24-02-2023 21.44,F:\Rushil\ADVANCE ASHRAM\9_Modern Physics_1_230223_212545.pdf
9_Surface chemistry_230219_193626.pdf,66,06-03-2024 19.09,19-02-2023 21.13,19-02-2023 21.13,F:\Rushil\ADVANCE ASHRAM\9_Surface chemistry_230219_193626.pdf
GOC_230207_172843.pdf,79,06-03-2024 19.09,07-02-2023 17.32,07-02-2023 17.32,F:\Rushil\ADVANCE ASHRAM\GOC_230207_172843.pdf
JEE_ADV_-2023_SCHEDULE.pdf,87,06-03-2024 19.09,11-02-2023 17.00,11-02-2023 17.00,F:\Rushil\ADVANCE ASHRAM\JEE_ADV_-2023_SCHEDULE.pdf
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
